PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Aaron Brooks,CHI,31,69,53,27.9%,41,131,31.3,40.8,10.2%,16,48,33.3,17.7%,25,83,30.1
Aaron Gordon,ORL,20,77,58,19.8%,52,114,45.6,50.9,14.2%,40,82,48.8,5.5%,12,32,37.5
Aaron Harrison,CHA,21,21,3,21.1%,3,4,75,100,10.5%,1,2,50,10.5%,2,2,100
Adreian Payne,MIN,25,52,27,29.2%,14,42,33.3,36.9,20.1%,11,29,37.9,9.0%,3,13,23.1
Al Horford,ATL,30,82,78,24.4%,139,256,54.3,55.9,21.7%,131,227,57.7,2.8%,8,29,27.6
Al Jefferson,CHA,31,47,41,23.2%,69,117,59,59,23.2%,69,117,59,0.0%,0,0,-
Al-Farouq Aminu,POR,25,82,71,25.3%,90,182,49.5,62.1,10.7%,44,77,57.1,14.6%,46,105,43.8
Alan Anderson,WAS,33,13,12,33.9%,8,20,40,57.5,3.4%,1,2,50,30.5%,7,18,38.9
Alan Williams,PHX,23,10,2,8.3%,1,2,50,50,8.3%,1,2,50,0.0%,0,0,-
Alec Burks,UTA,24,31,28,22.8%,27,76,35.5,42.1,14.4%,17,48,35.4,8.4%,10,28,35.7
Alex Len,PHX,23,78,57,18.3%,42,113,37.2,37.2,17.9%,42,111,37.8,0.3%,0,2,0
Alexis Ajinca,NOP,28,59,38,24.2%,32,76,42.1,42.1,23.9%,32,75,42.7,0.3%,0,1,0
Allen Crabbe,POR,24,81,76,30.4%,93,205,45.4,55.9,13.1%,50,88,56.8,17.4%,43,117,36.8
Alonzo Gee,NOP,29,73,37,20.9%,31,53,58.5,64.2,13.4%,25,34,73.5,7.5%,6,19,31.6
Amar'e Stoudemire,MIA,33,52,28,17.2%,25,38,65.8,65.8,17.2%,25,38,65.8,0.0%,0,0,-
Amir Johnson,BOS,29,78,45,15.2%,37,64,57.8,61.7,10.7%,32,45,71.1,4.5%,5,19,26.3
Anderson Varejao,GSW,33,53,18,20.2%,11,25,44,44,20.2%,11,25,44,0.0%,0,0,-
Andre Drummond,DET,22,81,56,9.2%,63,97,64.9,64.9,9.0%,63,95,66.3,0.2%,0,2,0
Andre Iguodala,GSW,32,65,55,36.4%,64,133,48.1,56.4,16.4%,42,60,70,20.0%,22,73,30.1
Andre Miller,SAS,40,39,9,17.9%,13,19,68.4,71.1,15.1%,12,16,75,2.8%,1,3,33.3
Andre Roberson,OKC,24,70,33,15.4%,26,42,61.9,65.5,9.2%,23,25,92,6.2%,3,17,17.6
Andrea Bargnani,BKN,30,46,37,32.5%,40,90,44.4,45,30.0%,39,83,47,2.5%,1,7,14.3
Andrew Bogut,GSW,31,70,33,21.4%,41,59,69.5,70.3,21.0%,40,58,69,0.4%,1,1,100
Andrew Goudelock,HOU,27,8,1,10.0%,1,2,50,50,5.0%,1,1,100,5.0%,0,1,0
Andrew Nicholson,ORL,26,55,31,15.0%,20,46,43.5,48.9,8.1%,15,25,60,6.8%,5,21,23.8
Andrew Wiggins,MIN,21,81,78,21.5%,122,278,43.9,48.9,14.5%,94,187,50.3,7.0%,28,91,30.8
Anthony Bennett,TOR,23,19,4,19.2%,1,5,20,20,7.7%,1,2,50,11.5%,0,3,0
Anthony Brown,LAL,23,29,23,41.6%,15,52,28.8,39.4,12.0%,4,15,26.7,29.6%,11,37,29.7
Anthony Davis,NOP,23,61,61,28.4%,141,322,43.8,45.5,24.4%,130,277,46.9,4.0%,11,45,24.4
Anthony Morrow,OKC,30,68,54,37.5%,50,125,40,53.6,9.0%,16,30,53.3,28.5%,34,95,35.8
Anthony Tolliver,DET,31,72,56,44.7%,50,148,33.8,47.3,5.7%,10,19,52.6,39.0%,40,129,31
Archie Goodwin,PHX,21,57,37,20.5%,35,86,40.7,47.7,10.0%,23,42,54.8,10.5%,12,44,27.3
Aron Baynes,DET,29,81,39,13.9%,35,53,66,66,13.6%,35,52,67.3,0.3%,0,1,0
Arron Afflalo,NYK,30,71,67,24.8%,95,198,48,57.6,13.7%,57,109,52.3,11.2%,38,89,42.7
Austin Rivers,LAC,23,67,59,30.8%,59,159,37.1,44.7,13.6%,35,70,50,17.2%,24,89,27
Avery Bradley,BOS,25,75,75,31.4%,130,315,41.3,50.8,14.6%,70,146,47.9,16.8%,60,169,35.5
Axel Toupane,DEN,23,21,20,45.7%,5,32,15.6,17.2,17.1%,4,12,33.3,28.6%,1,20,5
Ben McLemore,SAC,23,67,60,31.8%,57,143,39.9,47.9,16.3%,34,73,46.6,15.6%,23,70,32.9
Beno Udrih,MEM,33,44,35,26.4%,27,52,51.9,58.7,19.3%,20,38,52.6,7.1%,7,14,50
Bismack Biyombo,TOR,23,81,36,17.0%,27,48,56.3,56.3,17.0%,27,48,56.3,0.0%,0,0,-
Blake Griffin,LAC,27,35,35,29.2%,77,176,43.8,44.3,28.2%,75,170,44.1,1.0%,2,6,33.3
Boban Marjanovic,SAS,27,54,11,7.5%,6,13,46.2,46.2,7.5%,6,13,46.2,0.0%,0,0,-
Bobby Portis,CHI,21,62,48,22.3%,47,97,48.5,50,18.9%,44,82,53.7,3.4%,3,15,20
Bojan Bogdanovic,BKN,27,79,73,26.6%,81,198,40.9,53.8,7.9%,30,59,50.8,18.7%,51,139,36.7
Boris Diaw,SAS,34,76,43,15.7%,24,60,40,42.5,12.3%,21,47,44.7,3.4%,3,13,23.1
Bradley Beal,WAS,23,55,55,32.7%,117,261,44.8,53.4,18.0%,72,144,50,14.7%,45,117,38.5
Brandan Wright,MEM,28,12,8,17.3%,6,9,66.7,66.7,17.3%,6,9,66.7,0.0%,0,0,-
